desertionNo,kindNm,colorCd,specialMark,sexCd,happenPlace,orgNm,processState,popfile1
448567202600729,믹스견,옅은 황색,"119 포획, 마취총 맞고 입소, 헤진 목줄 착용, 아직 마취 덜 풀려서 성향 파악 못함",F,의창구 대산면 우암리 101-1,경상남도 창원시 의창성산구,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251305634.jpg
448548202600502,믹스견,갈색,마을배회 ,M,합천 소방서,경상남도 합천군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251205380.jpg
448548202600501,믹스견,갈색,마을배회 ,M,합천소방서,경상남도 합천군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251205629.jpg
448540202600600,믹스견,흰색,"전염병감염위험, 케어필요",F,가야읍 함안소방서 119구조대,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251505670.jpg
448540202600599,믹스견,흰색,"전염병감염위험, 케어필요",M,가야읍 함안소방서 119구조대,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251505875.jpg
448540202600598,믹스견,흰색,"전염병감염위험, 케어필요",F,가야읍 함안소방서 119구조대,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251505802.jpg
448540202600597,믹스견,갈색&검정&흰색,약간 소심한편,F,칠원읍 무기로 93,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251505504.jpg
448540202600596,믹스견,갈색&흰색,온순함,M,군북면 오곡리 산 69,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/20260525150500.jpg
448540202600595,말티즈,흰색,전반적인 신체능력 노령화상태,M,가야읍 산서리 산 94-2,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251505705.jpg
448540202600594,진도견,흰색,"전염병 감염위험, 케어필요, 부분피부질환",M,군북면 함안독립운동기념관,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251505649.jpg
448540202600593,진도견,흰색,"전염병 감염위험 , 케어필요, 부분피부질환",F,군북면 함안독립운동기념관,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/20260525150577.jpg
448540202600592,믹스견,흰색,"전염병 감염위험 , 케어필요",F,법수면 백산리 농노,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251505474.jpg
448540202600591,진도견,흰색,예민할수있다고 하여 지켜봐야함,M,법수면 사정안길 55,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251505381.jpg
